dataset,combo_name,ext_features,trials,pruning_mode,objective,label_rate_ext,label_rate_no_ext,label_rate_gap,label_rate_ratio,chi2_label,chi2_label_p,mean_ks,max_ks,mean_cohens_d,pct_features_shifted,total_shift
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,-0.000944,0.116835,0.072862,0.043973,1.603509,476.721,1.104743407962776e-105,0.090402,0.319451,0.164051,90.7,0.134375
WIDS,h1_bilirub+h1_lactate+h1_pao2fio,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min",10,optuna,0.002127,0.135093,0.072095,0.062998,1.873816,805.3976,3.618549900956722e-177,0.08703,0.384918,0.153685,92.4,0.150028
WIDS,h1_bilirub+h1_lactate+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,-0.001778,0.108869,0.07824,0.030629,1.391478,211.2137,7.465650597449928e-48,0.085258,0.248888,0.155256,89.6,0.115887
WIDS,h1_bilirub+h1_lactate,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min",10,optuna,0.001259,0.146079,0.076749,0.06933,1.903335,663.2887,2.878225986639207e-146,0.070945,0.20092,0.12876,91.4,0.140275
WIDS,h1_bilirub+h1_pao2fio+h1_arteria+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,0.000685,0.119189,0.071813,0.047375,1.659698,553.5782,2.0970055780566395e-122,0.091183,0.34145,0.168977,91.1,0.138558
WIDS,h1_bilirub+h1_pao2fio+h1_arteria,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min",10,optuna,0.000977,0.133994,0.072053,0.061941,1.859664,789.6055,9.818137589943686e-174,0.094584,0.43647,0.168016,93.5,0.156525
WIDS,h1_bilirub+h1_pao2fio+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,0.003879,0.116108,0.074343,0.041765,1.561781,414.0329,4.8559503927432865e-92,0.090922,0.329748,0.166225,90.9,0.132687
WIDS,h1_bilirub+h1_pao2fio,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min",10,optuna,0.002121,0.134826,0.074814,0.060011,1.802139,647.5636,7.568098042102844e-143,0.084781,0.418115,0.15079,90.8,0.144792
WIDS,h1_bilirub+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,0.005363,0.104485,0.080615,0.02387,1.296102,119.9675,6.430553670995825e-28,0.087177,0.249629,0.159214,90.4,0.111047
WIDS,h1_lactate+h1_pao2fio+h1_arteria+h1_hco3,"h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,-0.001086,0.119222,0.070771,0.048451,1.684622,594.0506,3.2949187899176234e-131,0.093532,0.332078,0.170969,90.0,0.141983
